City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
235,Cabo San Lucas,MX,2021-06-13 21:30:18,22.8909,-109.9124,94.51,69,75,10.36
236,Bethel,US,2021-06-13 21:29:54,41.3712,-73.414,78.85,70,90,6.91
237,Vilyuysk,RU,2021-06-13 21:34:34,63.7553,121.6247,59.36,45,18,4.99
238,Quatre Cocos,MU,2021-06-13 21:34:34,-20.2078,57.7625,74.08,70,36,16.58
239,Asyut,EG,2021-06-13 21:34:34,27.181,31.1837,84.38,31,1,20.89
240,Mezhova,UA,2021-06-13 21:34:35,48.2532,36.7347,58.91,90,6,7.02
241,Pitimbu,BR,2021-06-13 21:34:35,-7.4706,-34.8086,77.59,86,24,9.35
242,Batagay-Alyta,RU,2021-06-13 21:30:37,67.8006,130.4114,56.5,44,49,8.63
243,Semiletka,RU,2021-06-13 21:34:36,55.3603,54.6153,56.89,83,88,6.55
244,Naregal,IN,2021-06-13 21:34:36,15.5833,75.8167,72.28,85,100,21.54
245,Miri,MY,2021-06-13 21:34:37,4.4148,114.0089,75.34,94,40,1.14
246,Kropotkin,RU,2021-06-13 21:25:09,45.4375,40.5756,62.49,86,41,0.98
247,Beba,CU,2021-06-13 21:34:37,22.4437,-79.7253,73.67,74,99,9.28
248,Comodoro Rivadavia,AR,2021-06-13 21:25:17,-45.8667,-67.5,46.26,61,40,9.22
249,Ust-Koksa,RU,2021-06-13 21:34:38,50.2696,85.6108,37.92,91,26,0.96
250,Iqaluit,CA,2021-06-13 21:34:38,63.7506,-68.5145,44.33,70,75,8.05
251,Altamont,US,2021-06-13 21:34:39,42.2068,-121.7372,80.89,29,40,5.99
252,Poya,NC,2021-06-13 21:34:39,-21.35,165.15,75.78,67,50,4.21
253,Merrill,US,2021-06-13 21:34:40,45.1805,-89.6835,84.15,39,75,9.22
254,Jacobina,BR,2021-06-13 21:34:40,-11.1806,-40.5183,71.6,81,98,7.31
255,Jining,CN,2021-06-13 21:34:40,35.405,116.5814,80.01,1,99,8.66
256,Williams Lake,CA,2021-06-13 21:34:23,52.1415,-122.1445,65.77,52,75,4.0
257,Zambezi,ZM,2021-06-13 21:34:41,-13.5432,23.1047,52.38,43,35,6.13
258,Mundo Nuevo,MX,2021-06-13 21:34:41,18.7,-95.5,82.35,77,92,17.92
259,Viedma,AR,2021-06-13 21:34:42,-40.8135,-62.9967,52.41,69,100,10.16
260,Vila Velha,BR,2021-06-13 21:24:48,-20.3297,-40.2925,69.75,78,40,9.22
261,Chengde,CN,2021-06-13 21:34:42,40.9725,117.9361,69.6,95,100,2.55
