City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
289,Alanya,TR,66.33,clear sky,36.5438,31.9998,Panorama Hotel
291,Caravelas,BR,70.65,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
294,Labuhan,ID,77.22,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
295,Nichinan,JP,71.28,overcast clouds,31.6,131.3667,Guest House Aki
296,Port Shepstone,ZA,67.69,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
297,Porto Novo,BJ,80.49,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
299,Frankfurt,DE,71.89,clear sky,50.1167,8.6833,Hotel Scala
301,Cayenne,GF,82.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
302,Akyab,MM,79.47,light rain,20.15,92.9,Hotel Memory
303,Seoul,KR,74.59,clear sky,37.5683,126.9778,Lotte Hotel Seoul
304,Touros,BR,77.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
305,Palmas,BR,78.67,scattered clouds,-10.2128,-48.3603,Hotel Lago da Palma
308,Itaberaba,BR,68.56,few clouds,-12.5275,-40.3069,Araújo Hotel
309,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
310,Dingle,PH,79.88,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
312,Bubaque,GW,78.12,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
313,Sibolga,ID,76.53,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
314,Along,IN,74.12,overcast clouds,28.1667,94.7667,Hotel West
316,Hasaki,JP,73.29,light rain,35.7333,140.8333,Hotel Sunrise Choshi
318,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
320,Bafia,CM,69.48,broken clouds,4.75,11.2333,Ets MAISON BLANCHE
321,Auki,SB,83.57,few clouds,-8.7676,160.7034,Auki Motel
322,Marsa Matruh,EG,70.93,clear sky,31.3525,27.2453,Beau Site
324,Kavieng,PG,83.35,light rain,-2.5744,150.7967,Nusa Island Retreat
325,Trinidad,BO,78.78,scattered clouds,-14.8333,-64.9,Hotel Piesta
326,Yellandu,IN,77.43,overcast clouds,17.6,80.3333,Chekuri Satyanarayana
327,Chimbote,PE,67.86,broken clouds,-9.0853,-78.5783,Hotel Viera Chimbote
328,Luganville,VU,81.86,broken clouds,-15.5333,167.1667,The Espiritu Hotel
331,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
334,Dalbandin,PK,80.42,clear sky,28.8947,64.4101,Sanjrani House
335,Jacareacanga,BR,78.19,heavy intensity rain,-6.2222,-57.7528,Casa do Ian😎
339,Adolfo Lopez Mateos,MX,82.92,broken clouds,28.4667,-107.3,Hotel Victor Inn
340,Vila Franca Do Campo,PT,68.41,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
341,Haines Junction,CA,70.56,overcast clouds,60.7522,-137.5108,Parkside Inn
344,Caimito,CO,78.57,broken clouds,8.8123,-75.4107,VIVIENDA ESTUDIANTE
346,Cairns,AU,81.95,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
348,Rabo De Peixe,PT,67.51,few clouds,37.8,-25.5833,Quinta das Giestas
349,Ambilobe,MG,69.04,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
351,Tautira,PF,82.42,light rain,-17.7333,-149.15,Pension Oaoa
352,Langsa,ID,74.91,overcast clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
354,Tateyama,JP,75.09,light rain,34.9833,139.8667,Tateyama Seaside Hotel
355,Pilar,BR,75.13,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
356,Lastoursville,GA,72.64,light rain,-0.8143,12.7287,Auberge Bon Coin 02
358,Vila,PT,67.08,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
360,Parsabad,IR,73.15,clear sky,39.6482,47.9174,Peacock Hotel Magi
363,Mackay,AU,73.69,scattered clouds,-21.15,149.2,International Lodge Motel
365,La Libertad,EC,76.66,light rain,-2.2333,-80.9,Playa Canela Hotel Boutique
