City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Zaysan,KZ,47.4667,84.8667,58.41,46,0,5.44,clear sky
166,Rocha,UY,-34.4833,-54.3333,49.8,64,42,11.48,scattered clouds
167,Giyani,ZA,-23.3025,30.7187,56.68,50,0,2.89,clear sky
168,Talnakh,RU,69.4865,88.3972,50.58,80,80,10.96,broken clouds
169,Zhangjiakou,CN,40.81,114.8794,65.61,78,100,7.74,overcast clouds
170,Bay Roberts,CA,47.5999,-53.2648,45.52,77,61,11.52,broken clouds
171,Mundo Nuevo,MX,18.7,-95.5,79.72,84,100,22.3,overcast clouds
172,Kosa,RU,59.9445,54.9977,59.41,89,44,3.91,scattered clouds
173,Yulara,AU,-25.2406,130.9889,42.64,56,77,0.0,broken clouds
174,Khatassy,RU,61.9036,129.6383,66.18,45,89,10.96,overcast clouds
175,Torbay,CA,47.6666,-52.7314,44.76,89,53,3.0,broken clouds
176,Nizza Monferrato,IT,44.7738,8.3539,75.49,76,58,2.53,broken clouds
177,Balykshi,KZ,47.0667,51.8667,73.4,68,0,13.42,clear sky
178,Ponta Do Sol,PT,32.6667,-17.1,70.43,79,22,5.64,few clouds
179,Taebla,EE,58.9547,23.7419,52.88,93,3,5.5,clear sky
180,Mogadishu,SO,2.0371,45.3438,78.22,83,100,18.61,overcast clouds
181,Sambava,MG,-14.2667,50.1667,69.51,89,9,9.95,clear sky
182,Berlevag,NO,70.8578,29.0864,42.08,74,100,24.18,overcast clouds
183,Rach Gia,VN,10.0167,105.0833,76.95,79,99,9.98,overcast clouds
184,Anadyr,RU,64.75,177.4833,63.1,39,0,15.66,clear sky
185,Massakory,TD,12.996,15.7293,92.86,34,95,9.89,overcast clouds
186,Alyangula,AU,-13.8483,136.4192,71.47,100,90,0.0,fog
187,Chkalovskoye,RU,44.8392,133.0436,64.85,73,16,6.06,few clouds
188,Van,TR,38.4924,43.3831,60.15,39,20,5.75,few clouds
189,Dawei,MM,14.0833,98.2,75.76,97,100,5.5,moderate rain
190,Nelson Bay,AU,-32.7167,152.15,53.01,93,0,1.99,clear sky
191,Ahipara,NZ,-35.1667,173.1667,61.18,85,82,7.16,broken clouds
192,Oyek,RU,52.5861,104.4556,46.78,93,100,9.01,overcast clouds
193,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.5,90,79,7.14,broken clouds
194,Mareeba,AU,-17.0,145.4333,77.32,94,67,3.27,broken clouds
195,Qaanaaq,GL,77.484,-69.3632,36.91,80,100,1.28,overcast clouds
196,Vardo,NO,70.3705,31.1107,42.66,73,100,25.66,overcast clouds
197,Namatanai,PG,-3.6667,152.4333,83.7,69,55,8.25,broken clouds
198,Dargaville,NZ,-35.9333,173.8833,61.21,81,71,8.16,broken clouds
199,Saskylakh,RU,71.9167,114.0833,61.34,60,28,8.66,scattered clouds
200,Abeokuta,NG,7.15,3.35,76.48,90,77,3.56,broken clouds
201,Inuvik,CA,68.3499,-133.7218,74.64,33,34,15.88,scattered clouds
202,Geraldton,AU,-28.7667,114.6,54.01,94,90,8.05,overcast clouds
203,Tefe,BR,-3.3542,-64.7114,75.31,100,90,3.44,overcast clouds
204,Tavares,US,28.8042,-81.7256,88.05,76,1,8.05,clear sky
205,Notre-Dame-Du-Lac,CA,47.6136,-68.7964,60.87,98,99,6.85,overcast clouds
206,Suez,EG,29.9737,32.5263,70.99,71,0,7.99,clear sky
207,Mount Gambier,AU,-37.8333,140.7667,48.45,94,98,8.16,overcast clouds
208,Hamilton,US,39.1834,-84.5333,80.04,48,40,10.36,scattered clouds
209,Nambutalai,IN,9.7167,79.0,83.48,59,100,14.45,overcast clouds
210,General Roca,AR,-39.0333,-67.5833,43.2,43,0,8.57,clear sky
211,Cidreira,BR,-30.1811,-50.2056,56.97,74,100,13.91,overcast clouds
212,Mazamari,PE,-11.3258,-74.5308,70.23,95,81,0.49,broken clouds
213,Castellamonte,IT,45.382,7.7121,72.82,76,100,1.01,overcast clouds
214,Olafsvik,IS,64.8945,-23.7142,39.61,67,100,28.32,overcast clouds
215,Port Blair,IN,11.6667,92.75,82.53,82,100,18.21,overcast clouds
216,Coihaique,CL,-45.5752,-72.0662,28.35,93,0,2.3,clear sky
